id;kota;provinsi;hsbgn
Kota_347;KOTAWARINGIN BARAT;Kalimantan Tengah;6644296
Kota_351;PULANG PISAU;Kalimantan Tengah;6650680
Kota_465;HALMAHERA TIMUR;Maluku Utara;6659789
Kota_317;KETAPANG;Kalimantan Barat;6708818
Kota_402;WAJO;Sulawesi Selatan;6710000
Kota_320;MELAWI;Kalimantan Barat;6712904
Kota_314;BENGKAYANG;Kalimantan Barat;6715498
Kota_325;SINTANG;Kalimantan Barat;6715498
Kota_352;SERUYAN;Kalimantan Tengah;6722769
Kota_353;SUKAMARA;Kalimantan Tengah;6722769
Kota_111;KOTA SURABAYA;Jawa timur;6727000
Kota_451;BURU;Maluku;6730000
Kota_149;MUKOMUKO;Bengkulu;6750000
Kota_99;SUMENEP;Jawa timur;6758000
Kota_319;LANDAK;Kalimantan Barat;6770000
Kota_316;KAYONG UTARA;Kalimantan Barat;6870000
Kota_400;TANA TORAJA;Sulawesi Selatan;6880000
Kota_453;KEPULAUAN ARU;Maluku;6900000
Kota_510;NABIRE;Papua Tengah;6910000
Kota_412;MOROWALI UTARA;Sulawesi Tengah;6980000
Kota_163;KOTA SUNGAI PENUH;Jambi;7060000
Kota_466;HALMAHERA UTARA;Maluku Utara;7110000
Kota_462;HALMAHERA BARAT;Maluku Utara;7138163
Kota_407;BANGGAI KEPULAUAN;Sulawesi Tengah;7167354
Kota_463;HALMAHERA SELATAN;Maluku Utara;7240000
Kota_410;DONGGALA;Sulawesi Tengah;7292754
Kota_460;KOTA AMBON;Maluku;7340000
Kota_5;KOTA JAKARTA TIMUR;DKI Jakarta;7366788.845
Kota_443;MINAHASA;Sulawesi Utara;7370000
Kota_315;KAPUAS HULU;Kalimantan Barat;7390000
Kota_454;KEPULAUAN TANIMBAR;Maluku;7400000
Kota_15;BOGOR;Jawa Barat;7420000
Kota_4;KOTA JAKARTA SELATAN;DKI Jakarta;7420656.928
Kota_469;PULAU TALIABU;Maluku Utara;7462432
Kota_359;MAHAKAM ULU;Kalimantan Timur;7521347
Kota_355;BERAU;Kalimantan Timur;7542298
Kota_357;KUTAI KARTANEGARA;Kalimantan Timur;7542298
